,Name,Latitude,Longitude,City
0,Borra Caves,83.0396992,18.2806929,Araku
1,Padmapuram Gardens,82.8798769,18.3366529,Araku
2,Chaparai Water Cascade,82.7976579,18.2923327,Araku
3,Araku Tribal Museum,82.8784739,18.3235253,Araku
4,Katiki Waterfalls,82.9988491,18.2792145,Araku
5,Ananthagiri Water Falls,83.008381,18.2259706,Araku
6,Vanajangi Hills,82.6481875,18.0338125,Araku
7,Matsyagundam,82.6236951,18.1663013,Araku
8,Lambasingi,82.4921961,17.818596,Araku
9,Coffee Museum,82.8777584,18.3225752,Araku
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,bachalo,,,
