Review,Place
It was one of my first experience going inside a cave. It was pretty good. It has proper lighting and has been cleaned recently so there is no garbage or anything inside. It was quite cool inside and you could see the patterns formed on …,Borra Caves
"Good place to visit here. Here is The road here is very nice. There is also a valley to go from where the view is very good.
This is great for enjoying road trips. The cave is also very good, there are different types of lights installed inside. which looks pretty good.",Borra Caves
Visited this place over the weekend. Be careful with monkeys. Prefer not to take eatable inside the caves. Just enjoy the serenity and see what can continuous process can do. Insanely beautiful place with colourful lights,Borra Caves
"Nice neat place… with a lot of colourful lights inside the cave

You can spend around 1hr inside the cave there will be slippery surface so chose …",Borra Caves
"Firstly, this place is very very crowded. They had nearly 6 Parking places so just imagine going there on a Sunday 🥲 …",Borra Caves
"Most beautiful place of Andra Pradesh. It is biggest cave of India. Colour ful Lights make it more beautiful......
Entry ticket 50/ per and baggage are not allowed so drop it at locker room. …",Borra Caves
"Avoid if you are scared of depth or caves. Otherwise, enjoy the colorful cave and the dripping water(be careful, due to the dripping water, sometimes the stairs are wet and slippery). Anyways it's beautiful and the river beside is a …",Borra Caves
"The caves are very nice but there's not much to see other than the rock formations, interior, and the lighting. …",Borra Caves
"Spent a couple of hours here and loved it! I came here in my childhood when there was no lighting or guide rails, so we could in theory go anywhere, but we couldn't because it is too dark and hard so compared to that, the current setup makes it a lot more accessible though less natural.",Borra Caves
"First experience of being inside a huge cave, has good lighting inside and is cold inside.  pattern on rocks from dripping water almost looks manmade, but are natural. Have a nice time exploring, monkeys here are fond of aerated drinks hence they are most likely to be stolen if you are carrying them.",Borra Caves
"It is mesmerizing, the calmness of the place is unmatched. There are quite a bit of stairs so anyone with knee problem might need help. Rest it is amazing, with breathtaking scenery. Cars can be parked about 200 mtrs away, then one can walk in. Ticket is 70pp and it's completely worth it .",Borra Caves
"Very fine natural caves, you will enjoy this place but beware of a lot monkeys here. Safeguards you mobile phones/cameras while taking pictures. …",Borra Caves
"A natural creation that will leave you awestruck. Formed by water' s reaction on stalactite and staglamite, these caves are very much interesting and must visit. There are stairs, proper lights and very clean. Guides and photographers are available inside the caves. In monsoon, the stairs become slippery. Beware of the small monkeys.",Borra Caves
Most awesome and magnificent nature made cave. Seeing from inside give how cave man would have lived here. It may around km longs and 150 height.,Borra Caves
"Great geographical features.
A Must place to visit, if you are a tourist person. 3 hour drive from Vizag.
Use a guide to know where each figure or shape is located, otherwise you may …",Borra Caves
"Borra caves, one of the largest in the country.
The caves are basically limestone structures extending to a depth of 80 m (260 ft), and are considered the deepest caves in India.
Cool climate inside the caves.",Borra Caves
Perhaps the largest limestone cave in India 🇮🇳. The caves are well-decorated with various types of multi-coloured lights to look at the interior properly. Some of the caves are not open to the general public but open to student trekkers and …,Borra Caves
"Wonderful place that everyone has to visit. The ticket counter is good no need to wait, if there is rush it will be about less than 10 minutes waiting period. The lighting is a little low as we can't see the way down. Need to be aware of the steps as they are very high. one  wrong step and we are done.",Borra Caves
Great lighting inside the cave. Neat and clean place. You can see lot of patterns formed due to continuous dripping of water and it's a miracle of nature. Stairs towards top are very steepy so be careful. And be aware of monkeys and don't take any food items with you.,Borra Caves
"Nice visit. Thankfully they have made steps and put lights making it easier to venture inside the cave. Wear comfortable clothes and footwear. Latest ticket rates are adults- Rs 80, children 5-12 years - Rs 60.",Borra Caves
"Borra Caves are home to million-year-old stalactite and stalagmite formations. Perched at an elevation of 1,400 m above sea level.
We have visited on weekend and the place is really majestic, its can’t be …",Borra Caves
"This is the biggest cave in India. It is very well maintained, there are spots which are also 2 floors above in cave itself. It is nice cool place, many limestone formations. Cleanliness is maintained. Good lighting is done throughout the …",Borra Caves
This place is one of the must to visit and has a really proud history. The formation of the caves is miraculous and as well the discovery. Witnessing this place with millions of years of history is really lucky and awesome.,Borra Caves
One of the good naturally formed caves in midst of scenic beauty of eastern ghats .!!  Must visit destination and beware of monkeys!! It would be great if the maintaince improves bit more👍 …,Borra Caves
Excellent place for nature lovers and explorers. We have a beautiful view of the River. A big cave where one can happily spend a couple of hours. Borra caves is a must visit place on Araku trip. …,Borra Caves
Natural limestone cave formed about 150 million years ago. A walk around the cave provides view of the mountainous area which is rich in flora and fauna. The inside of the cave is very wet due to continuous dripping of water from the top. …,Borra Caves
"Must visit place!!
The lightning effect is pretty amazing and mesmerising. The place is well maintained. I would suggest to take a guide who will give a brief history and will …",Borra Caves
"An Unforgettable Cave Journey The cave was a journey that I will always remember. The lighting system enhanced the natural beauty of the rocks, and the sound of water droplets created a calming atmosphere. The cave was clean and …",Borra Caves
"It's a natural cave with majestic views and everyone should visit this at least once in a lifetime. The cave is made up of limestone and various images of gods , animals are formed on the walls of the cave with continuously dripping of water , it changes time to time.",Borra Caves
Really an amazing experience of visiting Borra caves.A 5 minutes drive from the railway station. The approach road condition could be better. A natural cave which is very deep and gives excellent rock melting views. You need atleast 1-1.5 …,Borra Caves
Borra Caves in Visakhapatnam is a mesmerizing natural wonder. The caves boast stunning stalactite and stalagmite formations that will leave you awestruck. The intricate patterns and shapes formed over centuries make for a surreal …,Borra Caves
"One of the highlights of Borra Caves is the magnificent limestone formations that have been formed over millions of years. The cave's walls are adorned with stalactites, stalagmites, and other incredible formations that are sure to leave …",Borra Caves
"This cave is just located beneath the borra caves.
Generally the place will be closed.
But if there is a chance you should definitely visit this …",Borra Caves
"One of the best place in Visakhapatnam visit
Nice neat place... with a lot of colourful lights …",Borra Caves
"Simply awesome show of nature. A must place to visit when in or around Vizag.
Very exciting for kids and adults. Nicely conserved. However littering at a few areas is an issue which the authorities must look at.",Borra Caves
"Being one of the largest natural caves in the country, Borra Caves is located in the Ananthgiri hill range and are home to breathtaking stalactite and stalagmite formations . The cave extends to a depth of 80m(260ft) and one has to travel 210 steps deep to experience the visual feast it brings with every step.",Borra Caves
"We had a great visit! We stayed in Macka tree. It was by the blue hole which we could hear all hours of the day and night. Ocean front view was amazing.
Food was amazing, staff amazing and the drinks were out of this world.
The chef for breakfast and lunch taught a vegetable soup class and of course.",Borra Caves
"It's a beautiful place to visit. Caves made beautiful by colourful light arrangements. We enjoyed alot here, a lot of scenic views are here. Please visit and beware of monkeys..🤣😂 …",Borra Caves
It is a whopping 150 million years old cave created naturally at the Altitude of 1400 meters above sea level .It is one of the longest and the deepest cave in India. The caves have a naturally formed shrine of Lord Shiva. …,Borra Caves
"Beautiful natural wonder!! It has a different calming feel but a word of caution, one needs to climb up and down many many series of staircase to explore it fully. The ticket counter is closed from 1pm to 2pm, so plan your visit accordingly.",Borra Caves
"Nice cave
Full lighting inside
First I felt the lighting was good. But as I went by there was lighting …",Borra Caves
"It’s a Good place for trekking, but local transport cost very expensive. Auto and Cab people use to charge 600rs per head to showcase local places, so it’s Better to visit this location by our own transport instead of train. Food facilities are average. Don’t expect quality food here.",Borra Caves
"Natural limestone cave located near to Araku valley. Nice place to visit with family, it is largest and deepest cave with different limestone structures. Avoid to come on weekends otherwise you need to face huge crowd inside the cave. 70Rs Tickets for per person. Parking facilities is also available.",Borra Caves
"Just mesmerizing.  Ticket counter stays closed from 1-2pm due to lunch hour.
There is a resting place, clean toilet and food shops.
A non vegetarian should definitely try the bamboo chicken biryani over there.
It's a naturally formed deep cave. It's safe and well maintained. Must visit.",Borra Caves
"Interesting place. Ancient, mysterious and adventurous. The journey through the cave completes when you reach Mahadev. The satisfaction is immense. The cave is huge and I believe there are still things that are yet to be discovered here.",Borra Caves
"The Caves, one of the largest in the country, at an elevation of about 705 m, distinctly exhibit a variety of impressive pictured ranging from very small to big and irregularly shaped, stalactites and stalagmites.",Borra Caves
"From the Borra Caves, the archaeologists have unearthed stone tools of the middle Paleolithic period that dates back 30,000 to 50,000 years. The cave is about 1400 metres above sea level. The perennial water flow, through the years led to …",Borra Caves
A beautiful and great natural wonder....it's worth to visit. While returning it can be tedious to climb back up. Amazing natural rock formations. Do visit,Borra Caves
Borra caves is around 90 kms from Vizag; do travel early in the morning to make the most of the time. It's a beautiful cave and has decent lighting. Be careful of the steep and slippery steps. Wear proper gripped shoe and you will be good to go.,Borra Caves
One of a kind experience! Nature is the biggest artist and these caves is just one piece of the art on the canvas (world). …,Borra Caves
Splendid and amazing. It is the one of long and large cave found in India. Beautiful site seeing. Unforgettable place to see.,Borra Caves
Absolutely magical place and amazing things of nature. One of the best place and it’s formed completely naturally. It’s just 3 hours from Vizaq and the journey by Rail full of tunnels and Roads here is completely scenic around monsoon …,Borra Caves
Borra is among the largest caves in India and one of the oldest caves. The best place to visit in Araku within the lap of the beautiful valley. You will find an abundance of stalactites and stalagmites rocks in the caves forming different artistic structures inside the cave.,Borra Caves
"Very nice place for young stars those who love nature's  creation . Olders  should  avoid to get down in the cave.
Please try to reach before,  it closes at 5 pm.",Borra Caves
"Most exciting place to visit during araku valley tour it’s really amazing formation by water droplets, inside lighting makes caves very amazing and the path developed by AP tourism make people easy to visit the cave, cave visit is …",Borra Caves
"Very well maintained cave and do wear comfortable shoes as it was massive and a lot of walking. We walked down and up a lot of stairs, the inside was lovely with coloured lights to make the cave look more magnificent.😊 …",Borra Caves
One of must visit Caves also called by people as Skeleton caves by his Nature and beauty. This caves is huge and requires an entry fee below 100/- per person. Ample parking without any parking charges. Lots of food stalls outside and lots …,Borra Caves
"The caves have impressive stalactite and stalagmite formations of Shiva-Parvati, mother-child, crocodile, human brain, rishi's beard and cow's udder among others. The environment is very soothing. Must try the bamboo chicken at the outside …",Borra Caves
Awesome treck experience and beautiful tourism area. All kind of people excite about this place. It is very huge and natural formed caves.   I can recommend train journey from visakhapatnam to borra caves railway station. We can enjoy the …,Borra Caves
One of the first cave I visited in my life and the experience was just amazing... beautiful designes inside the cave has been formed of stalagmites and stalactites,Borra Caves
"Beautiful and natural caves go below the earth surface, say 100+ feet down. Thrilled experience to walk around the caves. Ultimate is the presence of lord Shiva at the highest point in the cave in a small burrow between two big rocks. Well …",Borra Caves
